Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Female,No,0,Graduate,No,5000.0,0.0,103.0,360.0,0.0,Semiurban,N
Male,No,0,Graduate,No,4095.0,3447.0,151.0,360.0,1.0,Rural,Y
Male,Yes,0,Not Graduate,No,2894.0,2792.0,155.0,360.0,1.0,Rural,Y
Male,Yes,2,Graduate,No,5819.0,5000.0,120.0,360.0,1.0,Rural,Y
Female,No,0,Graduate,No,3510.0,0.0,76.0,360.0,0.0,Urban,N
Male,Yes,1,Graduate,No,1625.0,1803.0,96.0,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,2483.0,2466.0,90.0,180.0,0.0,Rural,Y
Male,No,0,Graduate,No,3254.0,0.0,50.0,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,2132.0,1591.0,96.0,360.0,1.0,Semiurban,Y
Male,No,2,Graduate,No,4354.0,0.0,136.0,360.0,1.0,Rural,Y
Male,Yes,2,Graduate,Yes,2500.0,4600.0,176.0,360.0,1.0,Rural,Y
Male,No,2,Graduate,No,3588.0,0.0,110.0,360.0,0.0,Rural,N
Male,Yes,1,Graduate,No,3750.0,0.0,116.0,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,5815.0,3666.0,311.0,360.0,1.0,Rural,N
Male,Yes,2,Graduate,No,3153.0,1560.0,134.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,4133.0,0.0,122.0,360.0,1.0,Semiurban,Y
Male,Yes,2,Not Graduate,No,3675.0,242.0,108.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,No,7660.0,0.0,104.0,360.0,0.0,Urban,N
Male,Yes,0,Graduate,No,4301.0,0.0,118.0,360.0,1.0,Urban,Y
Male,Yes,3+,Graduate,No,4416.0,1250.0,110.0,360.0,1.0,Urban,Y
Male,Yes,1,Graduate,No,14583.0,0.0,185.0,180.0,1.0,Rural,Y
Female,Yes,0,Graduate,No,3625.0,0.0,108.0,360.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,Yes,16525.0,1014.0,150.0,360.0,1.0,Rural,Y
Male,Yes,3+,Graduate,No,5516.0,11300.0,495.0,360.0,0.0,Semiurban,N
Female,Yes,0,Graduate,No,2423.0,505.0,130.0,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,2833.0,0.0,71.0,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,14683.0,2100.0,304.0,360.0,1.0,Rural,N
Female,No,0,Graduate,Yes,4583.0,0.0,133.0,360.0,0.0,Semiurban,N
Male,Yes,2,Not Graduate,Yes,1875.0,1875.0,97.0,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,2965.0,5701.0,155.0,60.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,5821.0,0.0,144.0,360.0,1.0,Urban,Y
Male,Yes,2,Graduate,No,5780.0,0.0,192.0,360.0,1.0,Urban,Y
Male,Yes,2,Graduate,Yes,4583.0,2083.0,160.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,3166.0,2064.0,104.0,360.0,0.0,Urban,N
Female,No,1,Graduate,No,4723.0,0.0,81.0,360.0,1.0,Semiurban,N
Male,Yes,0,Graduate,No,3716.0,0.0,42.0,180.0,1.0,Rural,Y
Male,Yes,3+,Not Graduate,No,2071.0,754.0,94.0,480.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,13650.0,0.0,127.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,Yes,16250.0,0.0,192.0,360.0,0.0,Urban,N
Male,Yes,0,Graduate,No,3816.0,754.0,160.0,360.0,1.0,Urban,Y
Male,Yes,2,Not Graduate,No,3083.0,2168.0,126.0,360.0,1.0,Urban,Y
Male,Yes,2,Graduate,No,3073.0,8106.0,200.0,360.0,1.0,Urban,Y
Male,Yes,2,Not Graduate,No,1993.0,1625.0,113.0,180.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,2473.0,1843.0,159.0,360.0,1.0,Rural,N
Male,Yes,2,Graduate,No,9703.0,0.0,112.0,360.0,1.0,Urban,Y
Male,Yes,1,Graduate,No,2882.0,1843.0,123.0,480.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,6000.0,0.0,141.0,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,3366.0,2200.0,135.0,360.0,1.0,Rural,N
Male,Yes,2,Graduate,No,8799.0,0.0,258.0,360.0,0.0,Urban,N
Male,Yes,1,Graduate,No,6000.0,0.0,160.0,360.0,1.0,Rural,Y
Male,No,0,Not Graduate,No,2755.0,0.0,65.0,300.0,1.0,Rural,N
Male,Yes,3+,Graduate,No,3430.0,1250.0,128.0,360.0,0.0,Semiurban,N
Female,Yes,1,Graduate,Yes,11500.0,0.0,286.0,360.0,0.0,Urban,N
Male,No,0,Graduate,Yes,11000.0,0.0,83.0,360.0,1.0,Urban,N
Female,Yes,0,Not Graduate,No,2149.0,3237.0,178.0,360.0,0.0,Semiurban,N
Male,Yes,2,Not Graduate,No,6125.0,1625.0,187.0,480.0,1.0,Semiurban,N
Male,Yes,0,Not Graduate,Yes,2609.0,3449.0,165.0,180.0,0.0,Rural,N
Male,Yes,3+,Not Graduate,No,4755.0,0.0,95.0,360.0,0.0,Semiurban,N
Male,Yes,2,Graduate,No,5391.0,0.0,130.0,360.0,1.0,Urban,Y
Female,No,0,Graduate,No,4547.0,0.0,115.0,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,2366.0,2531.0,136.0,360.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,11417.0,1126.0,225.0,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,Yes,5818.0,2160.0,184.0,360.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,3276.0,484.0,135.0,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,5050.0,0.0,118.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,3013.0,3033.0,95.0,300.0,1.0,Urban,Y
Male,Yes,2,Not Graduate,Yes,6383.0,1000.0,187.0,360.0,1.0,Rural,N
Male,Yes,1,Graduate,No,4583.0,1508.0,128.0,360.0,1.0,Rural,N
Female,Yes,0,Graduate,No,3167.0,2283.0,154.0,360.0,1.0,Semiurban,Y
Female,Yes,1,Graduate,No,4666.0,0.0,135.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,2980.0,2083.0,120.0,360.0,1.0,Rural,Y
